"","PC1","PC2","PC3"
"13_1957",-0.00801415786874633,-0.0562663964187603,-0.337073846606411
"13_1958",-0.0312435007137624,-0.105715866405944,-0.307992027411991
"13_1959",-0.0312316934632222,-0.0914773741475808,-0.325791287847262
"14_1950",0.0356490083544447,-0.0136769550475892,-0.0744525833302314
"14_1951",0.0518467908506286,0.00848419189737453,-0.0357259553607498
"14_1952",0.0309639161655786,-0.0723651858569225,-0.0327994806985644
"14_1953",0.0159067957649545,-0.0792751309535783,-0.100896176710362
"14_1954",0.00971347162271738,-0.0914171439505332,-0.109534669634303
"14_1955",0.0327809849673082,-0.0497391892358458,-0.0168781455619777
"14_1956",0.0488732070249846,0.00752956698594175,-0.0230559707988021
"14_1957",0.0452082940281039,-0.00632034007395227,-0.0393700889979612
"14_1958",0.0276050812750127,-0.0628597606286454,-0.077217106462415
"14_1959",0.0178955723402995,-0.0719211100876826,-0.0495729284538946
"15_1950",0.0246770882135608,-0.0272427749352393,-0.229516321208415
"15_1951",0.0379150506750034,-0.03531126012919,0.00613931809853462
"15_1952",-0.0010683310814323,-0.114353032068951,-0.0941459103453358
"15_1953",0.0396885256752155,-0.0113832677307602,-0.0967276653299104
"15_1954",0.0368242688682412,-0.0364717664964392,-0.150111326148291
"15_1955",-0.0121114378743128,-0.0869686604570113,-0.0627278236418041
"15_1956",-0.0299909181551388,-0.108596053275035,-0.0677797727370638
"15_1957",0.0296769170561783,-0.0425551418206542,-0.0426067510835124
"15_1958",-0.0518074118021871,-0.106631551305555,-0.144494065764395
"15_1959",-0.0395240543981524,-0.111945384837637,-0.0592607818252237
"18_1950",0.00221344926627405,-0.084207897962864,-0.164513776229769
"18_1951",0.0187603499978164,-0.0587946524352643,-0.0758149714692207
"18_1952",-0.0120342399910488,-0.102835441904012,-0.168258070651497
"18_1953",0.00552261024898606,-0.105393766536228,-0.0304005122541153
"18_1954",-0.00949637577312752,-0.10606476468107,-0.187324818770223
"18_1955",0.000101844119762634,-0.104590103835214,-0.18664669379231
"18_1956",0.00405328325984711,-0.0580353470827205,-0.0894655590510767
"18_1957",0.0239137991165308,-0.0547599985515697,-0.154836996582344
"18_1958",-0.0333723467829069,-0.138533246566361,-0.140013545245897
"18_1959",0.0115434268206143,-0.0638713808339607,-0.0439462906834803
"22_1950",-0.00607669412796522,-0.118492913620734,-0.091687058713211
"22_1951",-0.013931830440269,-0.127090058713542,-0.0521278974187132
"22_1952",-0.00974449849563312,-0.129749886769131,-0.0704782691009965
"22_1953",-0.0283916309580857,-0.139812325702648,-0.0915459912711629
"22_1954",-0.068054127962872,-0.147520480557852,-0.132433390248577
"22_1955",-0.0426551946029674,-0.149352153732046,-0.0789121331009082
"22_1956",-0.062928590672029,-0.13828931836024,-0.0236794936913774
"22_1957",-0.0227751118935259,-0.13210467203429,-0.0151514916593216
"22_1958",-0.0708240489028123,-0.135058628649695,-0.03989246394737
"22_1959",-0.0848996296767332,-0.133698990334991,-0.0807599385138841
"23_1950",0.0442254638264537,0.00909331300917362,-0.0322273742081571
"23_1951",0.0563952001121002,0.0664244224331036,0.0128139865221784
"23_1952",0.0286144718791959,-0.0328717780246985,-0.0733701204262406
"23_1953",0.0388039806511112,-0.0227120306852842,-0.0947035226775688
"23_1954",0.0325991900212807,-0.026452916805792,-0.0397949360068941
"23_1955",-0.0184942090226409,-0.11269995839942,-0.0912318698157643
"23_1956",0.0338075083362807,0.00836525492666072,-0.0809080802949069
"23_1957",0.0501026578836811,0.0775444459196653,-0.000909246880680776
"23_1958",0.018318236048434,-0.0550513264382195,-0.203192411845864
"23_1959",0.0290713167166233,-0.0404127300306459,-0.120622775124232
"24_1950",0.0657595175022835,0.0975853985666785,0.0623946796484635
