"","PC1","PC2","PC3","PC4"
"747_1973",0.0470649257583231,0.0192959271396609,0.00913383482786151,-0.0296027969672888
"747_1974",0.0518575553958546,0.0464605983022059,0.0314581376226666,0.0548830892922982
"747_1975",0.0571825385404093,0.0863253471533417,0.0464104984469857,-0.0289087990388304
"747_1976",0.050365505418544,0.0854256781410528,0.0232782306806599,0.0648816738790089
"747_1977",0.0484278037327948,0.105638038935089,-0.000492434936186158,0.0993542029224632
"747_1978",0.0561877638656508,0.110983167199293,0.0423422662141153,0.063133110664412
"747_1979",0.0595547342594474,0.107246731215594,0.0631915661193221,0.0255669550997975
"749_1970",0.0265900491529475,-0.0547393587653113,-0.0407472659836329,-0.235189614400776
"749_1971",0.0302436073031745,-0.0266541632709513,-0.0212652406912863,-0.269460193608023
"749_1972",0.0260583127329862,-0.0231013341791561,-0.0562776530454775,-0.243074919290513
"749_1973",0.0220019776894453,-0.0143802657225328,-0.103766269206585,0.00683837069008637
"749_1974",0.0412816214102779,0.030214367319472,-0.045860497243889,-0.0953908437425894
"749_1975",0.0355742078382725,-0.0136803425356389,0.00252191129732186,-0.234415550554193
"749_1976",0.0334716188945419,-0.00834416742136256,-0.0225850804566138,-0.226878784262908
"749_1977",0.0393819094103132,0.0121709728609268,-0.0261293194828921,-0.195629982474064
"749_1978",0.0327512676770867,-0.0386890667166447,-0.00525005029569295,-0.245635542896225
"749_1979",0.0374692089142838,-0.0194656127010582,-0.0257655068608982,-0.189166225358854
"753_1970",0.0404613601103116,0.0514425754326225,-0.0246157034590101,0.0520940319867283
"753_1971",0.0291728714062698,0.0513462396067925,-0.0413049184467514,-0.226886184452961
"753_1972",0.0185143448484914,-0.0595058137750703,-0.0243611946883061,-0.153226203273267
"753_1973",0.0418961156262005,0.0263766023806147,-0.00732400735436507,-0.0712589451171514
"753_1974",-0.00977490023350611,-0.0647002347555046,-0.0253664881947109,-0.120256292189848
"753_1975",0.0408286073604192,0.0385067530194589,0.0114630254704242,-0.220956845813092
"753_1976",0.026208918474226,-0.00741699519924243,-0.031060102679791,-0.192803529390399
"753_1977",-0.0120803493338887,0.0717827470040181,-0.108423711212213,-0.263500399838215
"753_1978",-0.0467920032131665,0.0910314267654695,-0.167579204399433,-0.0791508232477627
"753_1979",0.0469103023083883,0.0744860108662543,-0.00316748757054631,-0.140739063951199
"754_1970",0.0295771894121347,-0.0105847430668983,-0.0701281264826176,-0.105529830834078
"754_1971",0.0363657997134864,-0.0473062287814872,0.0179556869694875,-0.0895249967090363
"754_1972",-0.0488080035271353,0.0868722582809068,-0.22565649142477,0.0714296795926742
"754_1973",-0.0059520487790881,0.0927123968003646,-0.203190533374003,-0.0696875491111492
"754_1974",0.0195720566326066,0.0534004453878714,-0.131355933085385,-0.0342206901234739
"754_1975",0.031585083898009,0.00382798879214184,0.0322903737123306,-0.332031304120832
"754_1976",-0.00704149980026854,0.0458427216425762,-0.172042150909786,0.0142665199010411
"754_1977",-0.0609810094574205,-0.0148319741218921,-0.210990068143448,-0.0548574327381642
"754_1978",-0.0540191531189256,0.0800898463048376,-0.221987496255647,0.0276518140979873
"754_1979",0.0514002937103623,0.073678592840804,0.0219715143351964,0.0758014533023503
"755_1970",0.0134991203248696,0.00615946949516745,-0.134346236222941,-0.0293473651249394
"755_1971",0.0370675723931625,0.0210037504652198,-0.0478907894538087,-0.0317805680531202
"755_1972",0.0145172428879712,-0.0420316822899443,-0.108689044500415,-0.105955596070521
"755_1973",0.0318469765688128,0.0356726490216034,-0.0689159890463725,0.0449231972314152
"755_1974",0.0170521039450643,0.0670213383659702,-0.137775434883783,0.0545603481374271
"755_1975",0.0152518241166821,0.0994426155327018,-0.140866673880291,0.0599041889630187
"755_1976",-0.010171735953801,0.134894231364047,-0.216940483495485,0.0493140339455634
"755_1977",0.0440557079570554,0.0718818534428447,-0.0373100617072984,0.0263208584744865
"755_1978",0.00262472829936833,0.0444224062873105,-0.18013467471533,0.093044863358029
"755_1979",0.00258559452684893,0.105179413138469,-0.177710643858887,0.0312656668116326
"756_1970",0.0450284786421335,-5.44646576603905e-05,-0.0183570315792988,-0.0217130504406662
"756_1971",0.0434158318515723,-0.0211400281925194,-0.00388516655154553,-0.0590830136483216
"756_1972",0.0407758585084727,0.0217085783815404,-0.0578711933180932,-0.0578809294718551
"756_1973",0.0193057953531457,-0.070616033218153,-0.0807319073102254,-0.0500694609298579
"756_1974",0.0139299927889973,-0.0484258083424128,-0.10097680248243,0.0288297984606874
"756_1975",0.0282772781885118,-0.0581764623846075,-0.0408689312565181,-0.0227811313726103
"756_1976",0.0250462329426975,-0.0030533900871508,-0.0991218397680638,0.0331898040173335
"756_1977",0.0171778971862489,-0.002717892050506,-0.125310021894124,-0.0403968825503443
"756_1978",0.0388826163499502,0.00602539347639211,-0.0476669667335262,0.0108104765421917
"756_1979",0.04502604061442,0.00790382802117736,-0.0103825180524886,0.0266012366961454
"757_1970",0.0577759135661483,0.0734168906341921,0.0597403416863535,0.031317559340288
"757_1971",0.0500328473048263,0.0278671264111963,0.00634173971686739,0.03397950204992
"757_1972",0.0539181637079466,0.0539040552777808,0.0156498330121665,0.0396233970971149
"757_1973",0.0531812225397884,0.0527699196934337,0.013933695986687,0.0399933369392662
"757_1974",0.0489018538953066,0.0293296577982221,0.0160734113816977,0.0625392407415233
"757_1975",0.056565365925273,0.0627398586313086,0.0383206987893996,0.011214788566066
"757_1976",0.057485293764665,0.0913703024085272,0.05066162217668,0.0358280332870226
"757_1977",0.056897738132442,0.0876776614433201,0.043653138443243,0.0426781234932118
"757_1978",0.0587524367735746,0.0961797073387608,0.0639235784144776,0.0403768486916411
"757_1979",0.058243803046475,0.0894748870103988,0.0596177143200687,0.0375373017340765
"763_1970",0.0518900406963891,0.0723818535691196,0.0991398902940025,0.0376273071816744
"763_1971",0.0537381021562935,0.0809403377478695,0.0740519066023306,0.0186694292760836
"763_1972",0.0494145136755204,0.0717408836238055,0.116746834494494,-0.0448830734106115
"763_1973",0.0255107970117882,0.0387838023511884,-0.0818508663221818,-0.0464713207375766
"763_1974",0.0172255366348568,0.0117593844560524,-0.0455673925856763,-0.122767495803965
"763_1975",0.00528325206694719,0.105518291257683,-0.0838349685087834,-0.09556293632043
"763_1976",0.0462765943757152,0.04906694565747,0.0571746925235932,-0.0732203773851976
"763_1977",0.0528400124855266,0.133362940306072,0.0834110920888019,0.0150770435619682
"763_1978",-0.0773802608851307,0.0289589893174337,-0.179610020428029,0.0122185636811948
"763_1979",0.0262600684678899,-0.0383100765820175,0.038680080719652,-0.061644794573806
"765_1970",0.0502469170146329,0.0321229351729726,0.0390432830231969,-0.0730646241914601
"765_1971",0.0511283109082943,0.0628471764060016,0.0299570728496517,-0.0362815876070079
