"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"7_1957",0.00518814288815818,0.0211213151730813,-0.0335681141539845,0.0219819103111812,0.00230916860724737,-0.142887251322474,-0.164316801297963
"7_1958",0.0237523873086008,0.048193587043654,-0.046285268957741,0.0110467603352459,0.0299160396463372,-0.0846433153027362,-0.148228068358136
"7_1959",0.0142272082170978,0.0462161099731874,-0.057194325384315,0.00632981843641872,0.0159526168665103,-0.0854782051637823,-0.153781284812517
"7_1960",0.00690131497134024,0.0292495008586426,-0.0548082771884497,0.0172670931629669,0.011590844448345,-0.111455769635723,-0.151338010667986
"7_1961",0.0216637831561245,0.0259865309407421,-0.056452898524483,0.0154309754190712,0.0244220345041258,-0.17276029028499,-0.18134438818954
"7_1962",0.00596732367652343,0.0181529425788062,-0.0408663552062475,0.0295397676852662,0.0291810142322489,-0.164493617293041,-0.14810726858921
"7_1963",0.00956874143839614,0.010643183414096,-0.0460515652071219,0.0284643973850029,0.0227371119844896,-0.185492711138213,-0.168174859606544
"7_1964",0.0226951070944398,0.0158948904964548,-0.0558277595448766,0.0301299282293533,0.0211657872871191,-0.18327143096719,-0.170490522999267
"7_1965",0.0179612208529025,0.0189159574978466,-0.0656033228787044,0.0284140537362853,0.0279349895647258,-0.165328389445229,-0.166202735916839
"7_1966",0.00597919413771847,0.00564122916423761,-0.0540355724660031,0.0390342879179637,0.0243944898570307,-0.173184597977478,-0.171780968819848
"7_1967",0.00646072193241204,0.00539385049749226,-0.0566784428548652,0.039383903150549,0.0232970980966238,-0.175297637877569,-0.15723003165742
"7_1968",0.0181424063847862,0.0102825340297748,-0.0736253921661911,0.0358742808927098,0.0155986817206377,-0.189158540360794,-0.184132973761828
"7_1969",0.0217524849755343,0.00409735011780603,-0.0718356936891626,0.031032464594188,0.018915179713952,-0.206651721133631,-0.190335824122331
"7_1970",0.00636698108729765,-0.00588969354487926,-0.0593440263938905,0.0347937425675509,0.0159010382632731,-0.185939118922922,-0.175007529351447
"7_1971",0.0182648515722118,0.00369936272973158,-0.0749597372482496,0.029278396410033,0.0190413168973715,-0.209848595041091,-0.18863948849706
"7_1972",0.0211883455557447,0.00150824080583971,-0.0752675226117565,0.0317045564755793,0.0132460574357125,-0.213443256791399,-0.188336012123108
"7_1973",0.0209895515321827,-0.0017471215315402,-0.0725565214782407,0.0317162083861728,0.0168829151071016,-0.229906926449743,-0.200629429789607
"7_1974",0.021621345972346,-0.00479571547495307,-0.0720844893122943,0.0295989303685536,0.0147435016102377,-0.229913414896997,-0.188296417135631
"7_1975",0.0126711346134178,-0.00337514994160613,-0.0687171674817071,0.0351453814098643,0.0200889882181528,-0.211579122995147,-0.171078956290436
"7_1976",0.0158816765104661,-0.00347750571098068,-0.0705735989519308,0.0361745968678131,0.0221633583295824,-0.220580214876434,-0.176852283809328
"7_1977",0.010153454492938,0.00202409251075265,-0.0696265867930229,0.0375072668395819,0.0251719601612086,-0.195584969163727,-0.172681656359969
"7_1978",0.0214413310219509,-0.00539884429169432,-0.0734223423582103,0.0370218375186507,0.0139013407634705,-0.238899588116563,-0.189551523101623
"7_1979",0.021843932078086,-0.00569978872744854,-0.0758428191107363,0.0330960733569589,0.0184514809417132,-0.237752810156843,-0.186036726076728
"7_1980",0.0217248790256406,-0.00523931640978176,-0.0764760214876056,0.0338805350638207,0.0183856161807686,-0.236842983990889,-0.185702283957356
"7_1981",0.0246176189123021,-0.00623163455395324,-0.0769400124216233,0.0317301467833467,0.0221985581267914,-0.248742764287698,-0.192382720878632
"7_1982",0.0344122697415782,-0.0145728374537923,-0.0760309411252744,0.021075668597848,0.0157277945211961,-0.254376017405449,-0.185419043297238
"7_1983",0.036825393651962,-0.0137523075257919,-0.078378487568544,0.0179637373695265,0.0281629222419173,-0.260346780350624,-0.185609989647837
"7_1984",0.0339757250338342,-0.0149116800694127,-0.0833281656310421,0.0141052672448239,0.0224954187321923,-0.267004794703485,-0.184462196245692
"7_1985",0.0431402659020096,-0.0426103762431531,-0.0504736741386409,-0.00143985300406215,-0.00223548509281252,-0.281178024543757,-0.164751837295135
"7_1986",0.0240679616870988,0.00211181078799864,-0.0921699343905677,0.0260318823200762,0.0414061938294719,-0.222047461445947,-0.14025593590591
"7_1987",0.0148192130438645,0.00324956894918232,-0.0923994058806306,0.0219520106558837,0.0474976869390458,-0.191711732248518,-0.126364244346555
"7_1988",0.00895256669251914,0.00473034966302158,-0.0874842310544596,0.020019368115577,0.0553658694672811,-0.172331675762776,-0.10063835695954
"7_1989",0.0237988133933695,-0.00221991532833378,-0.0968483400943597,0.0151322937562955,0.0402524423496007,-0.229836144119966,-0.134622201869071
"7_1990",0.0457090236843433,-0.060038769856186,-0.0227476911501571,-0.0216620732956367,-0.0108703060814676,-0.264632249563003,-0.121780150626595
"7_1991",0.0200170505463212,-0.000193089179771278,-0.095730317407946,0.0189395147582071,0.0501567181582303,-0.198800534171139,-0.095194405669051
"7_1992",0.0191848763868949,0.00106940463550346,-0.0994803191962807,0.0186861705410397,0.0502296183695284,-0.179024118055063,-0.0583074157071542
"7_1993",0.0139673613667102,0.00796525871554667,-0.101132448532438,0.0101655107638904,0.0705933110985496,-0.150563705784779,-0.0541324323720406
"7_1994",0.026895033855648,-0.000699355406049239,-0.102250628841837,-0.0172940350596633,0.0665381005901854,-0.207621763137326,-0.0900135098294995
"7_1995",0.0462366679756834,-0.0670013029455644,-0.00985549880812899,-0.0320754027505162,-0.00744463007331365,-0.240616488430801,-0.0891683690406975
"7_1996",0.0459117730162172,-0.0515095388672675,-0.0466692286391128,-0.0341530950143034,0.0163511146437791,-0.268392391267024,-0.107229009110381
"7_1997",0.0312903808264286,-0.00960170909451621,-0.100090355281461,-0.0151097290396978,0.0535625675300467,-0.210043626096767,-0.0866450428808003
"7_1998",0.0328442794954885,-0.0114957264681776,-0.0999712096306444,-0.0173185641498727,0.0562401266508383,-0.21694961922665,-0.0981032728226575
"7_1999",0.0244788348632892,-0.00782627195233723,-0.102416886515955,-0.0028712260855171,0.048727569547815,-0.191516990180328,-0.0821066708465948
"7_2000",0.0436563576059395,-0.0420318738791204,-0.0697632265376967,-0.0220395202229328,0.0212687256595725,-0.253352028620482,-0.0905549458457771
"8_1940",-0.000219400932930332,0.0390132037355446,-0.0334562933124671,-0.051485637363372,-0.0867889207712882,0.0484626851677976,-0.136059200692946
"8_1941",0.00104592290949169,0.0587372898175425,-0.0131760186598288,-0.0582279071411081,-0.0548490288742274,0.0500016007394914,-0.127098335882234
