"","PC1","PC2","PC3","PC4"
"4_1990",0.0334308279506853,-0.0143077429440096,-0.107679366230715,-0.0675482673363815
"4_1991",0.027856125327933,-0.0030400575981662,-0.112522048130635,-0.0818113108977028
"4_1992",0.0164725821121158,0.0038327692861287,-0.109992137707694,-0.0985753840108324
"4_1993",0.0226382607848601,-0.00290527434757924,-0.109774204681474,-0.101529541436585
"4_1994",0.0331427222561303,-0.00543095411402348,-0.107473466760091,-0.0725013635143436
"4_1995",0.0440657477065272,-0.0392849727602288,-0.0727709831302989,-0.0537696439089793
"4_1996",0.0430399616369776,-0.0310781247978257,-0.0860221638299127,-0.0425087763313709
"4_1997",0.032937790869416,-0.00718531359852593,-0.107799859606109,-0.068459555048221
"4_1998",0.0293495636747411,-0.00574954778366941,-0.111718757417928,-0.0700665509866211
"4_1999",0.0265037123742015,-0.002282177998345,-0.111836252609359,-0.0762579672255901
"4_2000",0.0438140324653905,-0.0467191188146217,-0.0729005963887481,-0.0354867633866888
"7_1940",0.00424440478323101,0.0193571221210729,-0.0544725016323049,-0.0247233858134593
"7_1941",0.0134064023944767,0.0212959518270897,-0.0519869727075858,-0.0442528324667534
"7_1942",-0.00253900009967091,0.0198747890181153,-0.04474417201086,-0.0149922402849337
"7_1943",0.00590377724170379,0.0426038771145949,-0.0306275803488874,-0.00898490677173817
"7_1944",0.00117364449193526,0.0497297772654221,-0.0247048830501708,-0.0361178231216606
"7_1945",0.0159066724301301,0.0489333203054314,-0.0261030038349557,-0.0196862889322144
"7_1946",0.0233220146972357,0.0382561351034422,-0.027639661973735,-0.0120841571509046
"7_1947",0.0287698022137029,0.0328184106081881,-0.04202308243909,-0.0271303502886896
"7_1948",0.0062215489844234,0.0487456655087347,-0.0497210260929864,-0.0332107947043444
"7_1949",0.028846563989129,0.0375606656359681,-0.0518844868447401,-0.054021988963952
"7_1950",0.0195174474305357,0.0267835382128984,-0.0350882602784581,0.00512718724811046
"7_1951",0.00402430967179384,0.0257307892139319,-0.0307816023501449,0.0103941234639573
"7_1952",0.00225685195346445,0.0388924985099303,-0.0359917864175466,0.00559800715993083
"7_1953",0.0159597477035238,0.0455796242759908,-0.0477887011726757,-0.00869350906773114
